log_file,model,tier,backend,gpu_config,run_1_decode_tok_s,run_1_prompt_tok_s,run_1_ttft_s,run_2_decode_tok_s,run_2_prompt_tok_s,run_2_ttft_s,decode_tok_s,prompt_tok_s,ttft_s,bw_gb_s,bw_pct,gpu0_gib,gpu1_gib,avg_watts,peak_watts
2026-07-02_19-35-59_gemma4-31b-q5_rag_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5,rag,llamacpp,single0,4.2,493.0,4.05,4.2,4.0,0.25,4.2,248.0,2.15,91.7,13.6,15.7,0.3,,
2026-07-02_19-35-59_gemma4-31b-q5_rag_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5,rag,llamacpp,single1,4.0,255.0,7.84,4.1,4.0,0.26,4.1,129.0,4.05,89.0,6.6,2.1,14.0,,
2026-07-02_19-35-59_gemma4-31b-q5_rag_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5,rag,llamacpp,dual,16.5,757.0,2.64,16.5,15.0,0.07,16.5,386.0,1.35,361.6,26.9,15.7,14.6,,
