log_file,model,tier,backend,gpu_config,run_1_decode_tok_s,run_1_prompt_tok_s,run_1_ttft_s,run_2_decode_tok_s,run_2_prompt_tok_s,run_2_ttft_s,decode_tok_s,prompt_tok_s,ttft_s,bw_gb_s,bw_pct,gpu0_gib,gpu1_gib,avg_watts,peak_watts
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,ollama,auto,49.3,5980.0,0.09,49.9,5912.0,0.09,49.6,5946.0,0.09,346.1,51.5,10.6,0.3,4.4,4.5
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,single0,51.1,1852.0,0.29,51.0,1953.0,0.27,51.0,1902.0,0.28,356.1,53.0,11.7,0.3,5.0,13.9
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,single1,49.9,1819.0,0.29,49.9,1865.0,0.28,49.9,1842.0,0.29,348.2,51.8,2.5,9.4,130.2,139.4
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,dual,49.3,1916.0,0.28,49.3,1989.0,0.27,49.3,1952.0,0.27,343.8,51.2,7.5,5.7,86.6,96.4
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,dual_21,48.8,1949.0,0.27,49.3,2002.0,0.26,49.1,1976.0,0.27,342.2,50.9,8.8,4.4,70.3,73.6
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,ollama,auto,47.4,3855.0,0.52,47.1,3773.0,0.53,47.2,3814.0,0.52,329.5,49.0,10.7,0.3,4.6,4.7
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,single0,47.2,2152.0,0.93,47.4,37.0,0.03,47.3,1094.0,0.48,330.1,49.1,11.7,0.3,5.2,20.8
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,single1,46.4,2130.0,0.94,46.4,35.0,0.03,46.4,1082.0,0.48,323.9,48.2,2.5,9.4,135.3,156.0
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,dual,45.9,2153.0,0.93,45.9,35.0,0.03,45.9,1094.0,0.48,320.4,47.7,7.5,5.7,88.8,119.4
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,dual_21,45.9,2167.0,0.92,45.7,34.0,0.03,45.8,1100.0,0.48,319.5,47.6,8.8,4.4,70.5,95.4
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),longdoc,ollama,auto,47.3,7417.0,0.54,47.4,7478.0,0.53,47.4,7447.0,0.54,330.4,49.2,10.6,0.3,4.8,5.1
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),longdoc,llamacpp,single0,43.8,2146.0,1.86,43.9,35.0,0.03,43.9,1091.0,0.94,305.9,45.5,11.7,0.3,5.2,21.4
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),longdoc,llamacpp,single1,43.1,2125.0,1.88,43.1,33.0,0.03,43.1,1079.0,0.95,300.8,44.8,2.5,9.4,136.6,166.9
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),longdoc,llamacpp,dual,42.5,2578.0,1.55,42.7,32.0,0.03,42.6,1305.0,0.79,297.3,44.2,7.5,5.7,88.8,127.3
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),longdoc,llamacpp,dual_21,42.8,2422.0,1.65,42.7,33.0,0.03,42.7,1227.0,0.84,298.2,44.4,8.7,4.4,70.7,103.6
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),code,ollama,auto,49.7,3172.0,0.05,49.3,1836.0,0.09,49.5,2504.0,0.07,345.0,51.3,10.6,0.3,4.7,5.0
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),code,llamacpp,single0,51.1,1171.0,0.14,51.2,1261.0,0.12,51.2,1216.0,0.13,357.0,53.1,11.5,0.3,5.1,21.0
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),code,llamacpp,single1,50.0,1114.0,0.14,49.8,1147.0,0.13,49.9,1130.0,0.14,348.2,51.8,2.5,9.4,134.0,140.3
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),code,llamacpp,dual,49.0,1184.0,0.14,49.0,1261.0,0.12,49.0,1222.0,0.13,342.0,50.9,7.6,5.7,88.3,90.8
2026-07-04_22-42-56_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),code,llamacpp,dual_21,49.2,1246.0,0.13,49.2,1351.0,0.11,49.2,1298.0,0.12,343.2,51.1,8.9,4.4,71.4,74.8
2026-07-04_22-42-56_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,ollama,auto,67.3,19292.0,0.03,67.0,14418.0,0.04,67.1,16855.0,0.03,381.2,56.7,8.6,0.3,5.1,5.3
2026-07-04_22-42-56_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,single0,69.2,2189.0,0.25,69.5,147.0,0.03,69.3,1168.0,0.14,393.9,58.6,8.2,0.3,6.0,21.7
2026-07-04_22-42-56_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,single1,68.3,2119.0,0.25,68.5,93.0,0.04,68.4,1106.0,0.15,388.5,57.8,2.4,6.0,148.9,158.8
2026-07-04_22-42-56_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual,67.5,2248.0,0.24,67.4,111.0,0.04,67.4,1180.0,0.14,382.9,57.0,5.5,3.9,95.0,101.3
2026-07-04_22-42-56_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual_21,66.9,2250.0,0.24,67.4,120.0,0.03,67.1,1185.0,0.14,381.4,56.8,6.1,3.2,80.2,84.7
2026-07-04_22-42-56_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual_tensor,101.2,1474.0,0.37,101.5,86.0,0.05,101.3,780.0,0.21,575.7,42.8,5.6,3.4,116.8,131.8
2026-07-04_22-42-56_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),rag,ollama,auto,66.4,5483.0,0.37,66.5,4944.0,0.41,66.5,5213.0,0.39,377.5,56.2,8.7,0.3,5.0,5.2
2026-07-04_22-42-56_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),rag,llamacpp,single0,68.6,2776.0,0.73,68.6,147.0,0.03,68.6,1462.0,0.38,389.7,58.0,8.1,0.3,6.4,21.6
2026-07-04_22-42-56_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),rag,llamacpp,single1,67.8,2699.0,0.75,67.9,92.0,0.04,67.8,1396.0,0.4,385.2,57.3,2.3,6.0,154.2,161.9
2026-07-04_22-42-56_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),rag,llamacpp,dual,66.9,2702.0,0.75,66.4,114.0,0.04,66.6,1408.0,0.39,378.5,56.3,5.5,3.9,99.1,115.2
