log_file,model,tier,backend,gpu_config,run_1_decode_tok_s,run_1_prompt_tok_s,run_1_ttft_s,run_2_decode_tok_s,run_2_prompt_tok_s,run_2_ttft_s,decode_tok_s,prompt_tok_s,ttft_s,bw_gb_s,bw_pct,gpu0_gib,gpu1_gib,avg_watts,peak_watts
2026-07-04_19-54-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,ollama,auto,50.2,5885.0,0.09,50.2,9160.0,0.06,50.2,7522.0,0.07,350.2,52.1,11.3,0.3,3.6,3.8
2026-07-04_19-54-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,single0,51.4,1865.0,0.29,51.3,1941.0,0.27,51.4,1903.0,0.28,358.3,53.3,12.4,0.3,4.3,19.4
2026-07-04_19-54-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,single1,49.9,1828.0,0.29,49.9,1868.0,0.28,49.9,1848.0,0.29,348.3,51.8,3.2,9.4,128.3,137.1
2026-07-04_19-54-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,dual,49.5,1909.0,0.28,49.5,1960.0,0.27,49.5,1935.0,0.27,345.1,51.4,8.2,5.7,83.9,90.1
2026-07-04_19-54-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,dual_21,49.3,1953.0,0.27,49.3,2020.0,0.26,49.3,1986.0,0.27,343.9,51.2,9.5,4.4,69.4,77.6
2026-07-04_19-54-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,ollama,auto,47.8,3962.0,0.5,47.9,3896.0,0.51,47.8,3929.0,0.51,333.8,49.7,11.3,0.3,4.5,4.7
2026-07-04_19-54-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,single0,47.7,2162.0,0.92,47.7,36.0,0.03,47.7,1099.0,0.48,332.8,49.5,12.4,0.3,5.2,21.0
2026-07-04_19-54-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,single1,46.4,2136.0,0.94,46.4,36.0,0.03,46.4,1086.0,0.48,323.8,48.2,3.2,9.4,134.5,154.9
2026-07-04_19-54-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,dual,46.1,2160.0,0.93,46.0,36.0,0.03,46.0,1098.0,0.48,321.1,47.8,8.3,5.7,88.5,114.0
2026-07-04_19-54-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,dual_21,45.9,2174.0,0.92,46.0,35.0,0.03,45.9,1105.0,0.47,320.5,47.7,9.6,4.4,71.2,94.8
