log_file,model,tier,backend,gpu_config,run_1_decode_tok_s,run_1_prompt_tok_s,run_1_ttft_s,run_2_decode_tok_s,run_2_prompt_tok_s,run_2_ttft_s,decode_tok_s,prompt_tok_s,ttft_s,bw_gb_s,bw_pct,gpu0_gib,gpu1_gib,avg_watts,peak_watts
2026-07-02_12-25-29_qwen3.6-27b-q4_rag_single0_single1_dual_dual_21_dual_tensor.log,qwen3.6-27b-q4,rag,llamacpp,single0,9.8,643.0,3.16,9.9,16.0,0.25,9.9,329.0,1.71,165.7,24.7,15.4,0.3,,
2026-07-02_12-25-29_qwen3.6-27b-q4_rag_single0_single1_dual_dual_21_dual_tensor.log,qwen3.6-27b-q4,rag,llamacpp,single1,9.9,462.0,4.4,9.8,14.0,0.28,9.8,238.0,2.34,165.5,12.3,1.6,13.6,,
2026-07-02_12-25-29_qwen3.6-27b-q4_rag_single0_single1_dual_dual_21_dual_tensor.log,qwen3.6-27b-q4,rag,llamacpp,dual,22.8,866.0,2.35,22.9,41.0,0.1,22.8,454.0,1.22,384.2,28.6,10.3,9.6,,
2026-07-02_12-25-29_qwen3.6-27b-q4_rag_single0_single1_dual_dual_21_dual_tensor.log,qwen3.6-27b-q4,rag,llamacpp,dual_21,22.5,858.0,2.37,22.8,43.0,0.09,22.7,451.0,1.23,381.1,28.4,13.1,7.0,,
2026-07-02_12-25-29_qwen3.6-27b-q4_rag_single0_single1_dual_dual_21_dual_tensor.log,qwen3.6-27b-q4,rag,llamacpp,dual_tensor,37.1,668.0,3.04,37.3,36.0,0.11,37.2,352.0,1.58,625.7,46.6,10.8,9.1,,
