log_file,model,tier,backend,gpu_config,run_1_decode_tok_s,run_1_prompt_tok_s,run_1_ttft_s,run_2_decode_tok_s,run_2_prompt_tok_s,run_2_ttft_s,decode_tok_s,prompt_tok_s,ttft_s,bw_gb_s,bw_pct,gpu0_gib,gpu1_gib,avg_watts,peak_watts
2026-07-04_19-12-23_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,ollama,auto,66.2,14265.0,0.04,66.9,13801.0,0.04,66.6,14033.0,0.04,378.3,56.3,9.4,0.3,,
2026-07-04_19-12-23_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,single0,67.8,2350.0,0.23,69.9,145.0,0.03,68.9,1247.0,0.13,391.1,58.2,9.0,0.3,,
2026-07-04_19-12-23_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,single1,68.8,2236.0,0.24,68.8,94.0,0.04,68.8,1165.0,0.14,390.6,58.1,3.3,6.0,,
2026-07-04_19-12-23_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual,67.6,2241.0,0.24,67.7,113.0,0.04,67.7,1177.0,0.14,384.3,57.2,6.4,3.9,,
2026-07-04_19-12-23_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual_21,67.7,2299.0,0.23,67.5,121.0,0.03,67.6,1210.0,0.13,383.9,57.1,7.1,3.2,,
2026-07-04_19-12-23_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual_tensor,103.6,1517.0,0.36,103.0,95.0,0.04,103.3,806.0,0.2,586.9,43.7,6.5,3.4,,
