log_file,model,tier,backend,gpu_config,run_1_decode_tok_s,run_1_prompt_tok_s,run_1_ttft_s,run_2_decode_tok_s,run_2_prompt_tok_s,run_2_ttft_s,decode_tok_s,prompt_tok_s,ttft_s,bw_gb_s,bw_pct,gpu0_gib,gpu1_gib,avg_watts,peak_watts
2026-07-04_19-23-47_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,ollama,auto,67.1,14332.0,0.04,67.0,19312.0,0.03,67.0,16822.0,0.03,380.8,56.7,9.5,0.3,3.8,4.0
2026-07-04_19-23-47_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,single0,70.1,2440.0,0.22,70.1,148.0,0.03,70.1,1294.0,0.12,398.2,59.3,9.0,0.3,6.9,19.9
2026-07-04_19-23-47_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,single1,68.6,2222.0,0.24,68.6,93.0,0.04,68.6,1158.0,0.14,389.7,58.0,3.3,6.0,140.2,153.1
2026-07-04_19-23-47_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual,68.0,2278.0,0.24,68.0,114.0,0.04,68.0,1196.0,0.14,386.3,57.5,6.4,3.9,92.8,98.4
2026-07-04_19-23-47_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual_21,68.0,2302.0,0.23,68.0,122.0,0.03,68.0,1212.0,0.13,386.2,57.5,7.0,3.2,77.1,82.0
2026-07-04_19-23-47_qwen3.5-9b-q4_chat_single0_single1_dual_dual_21_dual_tensor.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual_tensor,103.0,1512.0,0.36,103.1,94.0,0.04,103.1,803.0,0.2,585.5,43.6,6.5,3.4,115.7,129.0
