log_file,model,tier,backend,gpu_config,run_1_decode_tok_s,run_1_prompt_tok_s,run_1_ttft_s,run_2_decode_tok_s,run_2_prompt_tok_s,run_2_ttft_s,decode_tok_s,prompt_tok_s,ttft_s,bw_gb_s,bw_pct,gpu0_gib,gpu1_gib,avg_watts,peak_watts
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,ollama,auto,49.5,9226.0,0.06,49.3,9021.0,0.06,49.4,9123.0,0.06,344.4,51.2,10.7,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,single0,50.8,1809.0,0.3,51.3,1955.0,0.27,51.0,1882.0,0.28,355.9,53.0,11.8,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,single1,50.1,1827.0,0.29,50.2,1881.0,0.28,50.2,1854.0,0.29,349.9,52.1,2.8,9.4,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),chat,llamacpp,dual,49.7,1911.0,0.28,49.7,1966.0,0.27,49.7,1939.0,0.27,346.8,51.6,7.7,5.7,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,ollama,auto,47.6,45051.0,0.04,47.6,44916.0,0.04,47.6,44983.0,0.04,331.9,49.4,10.8,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,single0,48.3,2173.0,0.92,48.3,39.0,0.03,48.3,1106.0,0.47,336.8,50.1,11.9,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,single1,46.9,2132.0,0.94,47.0,36.0,0.03,47.0,1084.0,0.48,327.6,48.7,2.6,9.4,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),rag,llamacpp,dual,46.5,2165.0,0.92,46.5,35.0,0.03,46.5,1100.0,0.48,324.4,48.3,7.6,5.7,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),code,ollama,auto,50.6,2768.0,0.06,50.8,1945.0,0.08,50.7,2356.0,0.07,353.8,52.7,10.7,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),code,llamacpp,single0,52.3,1197.0,0.13,52.3,1262.0,0.12,52.3,1229.0,0.13,364.9,54.3,11.8,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),code,llamacpp,single1,50.8,1115.0,0.14,50.7,1164.0,0.13,50.8,1140.0,0.14,354.0,52.7,2.6,9.4,,
2026-07-03_16-39-28_run-all.log,gemma4-12b-qat  —  Gemma 4 12B IT QAT (Q4_0),code,llamacpp,dual,50.4,1218.0,0.13,50.3,1308.0,0.12,50.3,1263.0,0.12,351.1,52.2,7.6,5.7,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,ollama,auto,68.0,19785.0,0.03,66.4,19454.0,0.03,67.2,19620.0,0.03,381.7,56.8,8.8,0.3,,
