log_file,model,tier,backend,gpu_config,run_1_decode_tok_s,run_1_prompt_tok_s,run_1_ttft_s,run_2_decode_tok_s,run_2_prompt_tok_s,run_2_ttft_s,decode_tok_s,prompt_tok_s,ttft_s,bw_gb_s,bw_pct,gpu0_gib,gpu1_gib,avg_watts,peak_watts
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,single0,70.3,2214.0,0.24,70.3,147.0,0.03,70.3,1181.0,0.14,399.2,59.4,8.4,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,single1,68.7,2215.0,0.24,68.7,92.0,0.04,68.7,1154.0,0.14,390.3,58.1,2.6,6.0,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual,68.1,2254.0,0.24,68.2,112.0,0.04,68.2,1183.0,0.14,387.2,57.6,5.7,3.9,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),chat,llamacpp,dual_tensor,103.6,1448.0,0.37,104.1,95.0,0.04,103.8,771.0,0.21,589.9,43.9,5.8,3.4,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),rag,ollama,auto,67.2,5151.0,0.39,67.3,5542.0,0.37,67.3,5346.0,0.38,382.1,56.9,8.8,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),rag,llamacpp,single0,67.9,2764.0,0.74,69.0,140.0,0.03,68.4,1452.0,0.38,388.6,57.8,8.5,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),rag,llamacpp,single1,67.8,2695.0,0.75,67.7,93.0,0.04,67.8,1394.0,0.4,384.9,57.3,2.7,6.0,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),rag,llamacpp,dual,66.5,2708.0,0.75,66.8,110.0,0.04,66.6,1409.0,0.39,378.5,56.3,6.1,3.9,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),rag,llamacpp,dual_tensor,101.5,1757.0,1.16,101.5,91.0,0.04,101.5,924.0,0.6,576.5,42.9,5.9,3.5,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),code,ollama,auto,63.3,3899.0,0.04,65.3,1410.0,0.11,64.3,2654.0,0.07,365.5,54.4,9.3,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),code,llamacpp,single0,68.6,1447.0,0.11,68.2,146.0,0.03,68.4,797.0,0.07,388.5,57.8,8.5,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),code,llamacpp,single1,68.8,1248.0,0.12,68.7,93.0,0.04,68.7,670.0,0.08,390.5,58.1,2.9,6.0,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),code,llamacpp,dual,67.7,1289.0,0.12,67.5,113.0,0.04,67.6,701.0,0.08,384.0,57.1,6.0,3.9,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q4  —  Qwen3.5 9B (Q4_K_M),code,llamacpp,dual_tensor,102.9,893.0,0.17,102.3,84.0,0.05,102.6,488.0,0.11,582.8,43.4,5.9,3.4,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),chat,ollama,auto,42.5,8732.0,0.06,42.3,8550.0,0.06,42.4,8641.0,0.06,404.1,60.1,7.6,5.6,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),chat,llamacpp,single0,45.2,2536.0,0.21,45.0,124.0,0.03,45.1,1330.0,0.12,429.7,63.9,11.6,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),chat,llamacpp,single1,44.6,2302.0,0.23,44.6,82.0,0.05,44.6,1192.0,0.14,425.0,63.2,2.8,9.1,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),chat,llamacpp,dual,43.9,2341.0,0.23,44.1,93.0,0.04,44.0,1217.0,0.14,419.3,62.4,7.4,5.4,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),chat,llamacpp,dual_tensor,73.1,1519.0,0.35,72.8,87.0,0.05,72.9,803.0,0.2,694.9,51.7,7.5,5.0,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),rag,ollama,auto,42.8,4689.0,0.43,42.9,4680.0,0.43,42.9,4685.0,0.43,408.4,60.8,7.6,5.6,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),rag,llamacpp,single0,44.3,3034.0,0.67,44.2,116.0,0.03,44.3,1575.0,0.35,421.6,62.7,11.8,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),rag,llamacpp,single1,44.3,2928.0,0.69,44.3,81.0,0.05,44.3,1505.0,0.37,422.1,62.8,3.0,9.1,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),rag,llamacpp,dual,43.9,2961.0,0.69,43.6,98.0,0.04,43.7,1529.0,0.36,416.7,62.0,7.5,5.5,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),rag,llamacpp,dual_tensor,72.3,1838.0,1.11,72.6,87.0,0.05,72.5,963.0,0.58,690.3,51.4,7.5,5.0,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),code,ollama,auto,43.0,2473.0,0.06,42.9,2420.0,0.06,43.0,2446.0,0.06,409.2,60.9,7.5,5.6,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),code,llamacpp,single0,44.8,1441.0,0.11,44.9,122.0,0.03,44.8,782.0,0.07,427.1,63.6,11.6,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),code,llamacpp,single1,44.7,1284.0,0.12,44.7,81.0,0.05,44.7,683.0,0.08,425.6,63.3,2.7,9.1,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),code,llamacpp,dual,44.1,1348.0,0.11,44.2,95.0,0.04,44.2,722.0,0.08,420.7,62.6,7.3,5.4,,
2026-07-03_16-39-28_run-all.log,qwen3.5-9b-q8  —  Qwen3.5 9B (Q8_0),code,llamacpp,dual_tensor,72.6,837.0,0.18,72.9,87.0,0.05,72.8,462.0,0.11,693.3,51.6,7.5,5.0,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),chat,ollama,auto,22.7,793.0,0.68,22.7,795.0,0.68,22.7,794.0,0.68,381.9,56.8,11.5,9.5,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),chat,llamacpp,single0,10.0,459.0,1.17,10.0,16.0,0.25,10.0,238.0,0.71,168.0,25.0,15.5,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),chat,llamacpp,single1,10.0,238.0,2.26,10.0,14.0,0.28,10.0,126.0,1.27,167.5,24.9,2.1,13.6,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),chat,llamacpp,dual,23.0,743.0,0.73,23.0,41.0,0.1,23.0,392.0,0.41,386.3,57.5,10.9,9.5,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),chat,llamacpp,dual_tensor,37.6,580.0,0.93,37.7,36.0,0.11,37.7,308.0,0.52,633.5,47.1,10.9,9.1,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),rag,ollama,auto,22.5,2947.0,0.69,22.5,2848.0,0.71,22.5,2897.0,0.7,378.8,56.4,10.9,9.5,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),rag,llamacpp,single0,9.8,662.0,3.07,9.8,16.0,0.25,9.8,339.0,1.66,165.2,24.6,15.5,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),rag,llamacpp,single1,9.8,461.0,4.41,9.8,14.0,0.28,9.8,238.0,2.35,164.3,24.4,2.1,13.6,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),rag,llamacpp,dual,22.7,866.0,2.35,22.8,41.0,0.1,22.8,454.0,1.22,382.7,56.9,10.9,9.6,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),rag,llamacpp,dual_tensor,37.3,666.0,3.05,37.3,36.0,0.11,37.3,351.0,1.58,627.8,46.7,11.0,9.1,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),code,ollama,auto,22.6,1148.0,0.13,22.6,1151.0,0.13,22.6,1150.0,0.13,380.3,56.6,10.8,9.5,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),code,llamacpp,single0,10.0,201.0,0.75,10.0,16.0,0.25,10.0,109.0,0.5,167.7,25.0,15.5,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),code,llamacpp,single1,10.0,85.0,1.78,10.0,14.0,0.28,10.0,50.0,1.03,167.8,25.0,2.3,13.6,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),code,llamacpp,dual,22.9,487.0,0.31,23.0,41.0,0.1,23.0,264.0,0.2,386.2,57.5,11.0,9.5,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q4  —  Qwen3.6 27B (Q4_K_M),code,llamacpp,dual_tensor,37.8,360.0,0.42,37.9,37.0,0.11,37.8,198.0,0.26,635.8,47.3,11.1,9.1,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),chat,ollama,auto,17.7,687.0,0.78,17.7,678.0,0.8,17.7,682.0,0.79,397.7,59.2,13.6,12.0,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),chat,llamacpp,single0,5.0,247.0,2.18,5.0,10.0,0.4,5.0,129.0,1.29,113.4,16.9,15.4,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),chat,llamacpp,single1,5.0,127.0,4.25,5.0,10.0,0.39,5.0,69.0,2.32,113.4,16.9,2.2,13.4,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),chat,llamacpp,dual,17.8,653.0,0.83,17.8,36.0,0.11,17.8,344.0,0.47,400.6,59.6,13.5,11.9,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),chat,llamacpp,dual_tensor,30.3,551.0,0.98,30.4,36.0,0.11,30.4,293.0,0.54,683.9,50.9,13.5,11.6,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),rag,ollama,auto,17.5,2641.0,0.77,17.5,2591.0,0.78,17.5,2616.0,0.78,395.0,58.8,13.5,12.0,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),rag,llamacpp,single0,5.0,469.0,4.33,5.0,10.0,0.4,5.0,240.0,2.37,112.8,16.8,15.4,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),rag,llamacpp,single1,5.0,297.0,6.84,5.0,10.0,0.41,5.0,154.0,3.62,112.9,16.8,2.2,13.5,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),rag,llamacpp,dual,17.7,755.0,2.69,17.7,38.0,0.1,17.7,397.0,1.4,397.9,59.2,13.5,12.0,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),rag,llamacpp,dual_tensor,30.2,632.0,3.21,30.2,36.0,0.11,30.2,334.0,1.66,681.0,50.7,13.6,11.6,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),code,ollama,auto,17.6,979.0,0.16,17.6,977.0,0.16,17.6,978.0,0.16,396.4,59.0,13.5,12.0,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),code,llamacpp,single0,5.1,85.0,1.8,5.1,10.0,0.39,5.1,47.0,1.09,114.6,17.1,15.3,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),code,llamacpp,single1,5.0,42.0,3.62,5.0,10.0,0.41,5.0,26.0,2.02,113.0,16.8,2.2,13.5,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),code,llamacpp,dual,17.8,437.0,0.35,17.8,39.0,0.1,17.8,238.0,0.23,400.3,59.6,13.3,11.9,,
2026-07-03_16-39-28_run-all.log,qwen3.6-27b-q6  —  Qwen3.6 27B (Q6_K),code,llamacpp,dual_tensor,30.5,368.0,0.41,30.5,37.0,0.11,30.5,203.0,0.26,687.0,51.1,13.2,11.6,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),chat,ollama,auto,79.1,7633.0,0.07,79.1,7655.0,0.07,79.1,7644.0,0.07,1341.2,199.6,11.0,9.3,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),chat,llamacpp,single0,59.4,509.0,1.05,59.3,1106.0,0.48,59.4,807.0,0.76,1006.0,149.7,15.4,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),chat,llamacpp,single1,55.7,379.0,1.41,56.3,411.0,1.29,56.0,395.0,1.35,949.2,141.3,1.6,14.0,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),chat,llamacpp,dual,86.2,1797.0,0.3,86.4,2777.0,0.19,86.3,2287.0,0.24,1461.9,217.5,11.2,9.5,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),chat,llamacpp,dual_tensor,96.0,1235.0,0.43,97.4,1548.0,0.34,96.7,1391.0,0.39,1639.0,122.0,11.2,10.1,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),rag,ollama,auto,76.1,67416.0,0.03,76.1,68012.0,0.03,76.1,67714.0,0.03,1289.7,191.9,10.7,9.3,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),rag,llamacpp,single0,56.4,1390.0,1.44,56.5,37.0,0.03,56.5,714.0,0.73,957.1,142.4,15.3,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),rag,llamacpp,single1,53.6,1064.0,1.88,53.7,38.0,0.03,53.6,551.0,0.95,908.9,135.3,1.6,14.0,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),rag,llamacpp,dual,80.0,3274.0,0.61,80.2,52.0,0.02,80.1,1663.0,0.31,1357.8,202.1,11.2,9.6,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),rag,llamacpp,dual_tensor,92.5,1765.0,1.13,93.0,37.0,0.03,92.8,901.0,0.58,1572.4,117.0,11.3,10.2,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),code,ollama,auto,83.0,2874.0,0.06,83.0,2868.0,0.06,83.0,2871.0,0.06,1406.4,209.3,10.7,9.2,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),code,llamacpp,single0,59.6,223.0,0.72,60.1,537.0,0.29,59.8,380.0,0.51,1013.9,150.9,15.3,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),code,llamacpp,single1,56.1,152.0,1.06,56.2,168.0,0.92,56.2,160.0,0.99,952.0,141.7,1.6,14.0,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),code,llamacpp,dual,87.1,825.0,0.2,87.2,1478.0,0.1,87.2,1152.0,0.15,1477.6,219.9,11.2,9.5,,
2026-07-03_16-39-28_run-all.log,gemma4-26b-moe-q4  —  Gemma 4 26B A4B IT MoE UD (Q4_K_M),code,llamacpp,dual_tensor,97.1,626.0,0.26,97.5,956.0,0.16,97.3,791.0,0.21,1648.9,122.7,11.1,10.0,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),chat,ollama,auto,94.5,11194.0,0.05,94.5,11250.0,0.05,94.5,11222.0,0.05,2091.7,311.3,12.8,11.0,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),chat,llamacpp,single0,66.2,324.0,1.66,67.7,85.0,0.05,67.0,205.0,0.85,1482.8,220.7,15.3,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),chat,llamacpp,single1,61.3,233.0,2.31,63.2,59.0,0.07,62.3,146.0,1.19,1378.1,205.1,1.6,13.9,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),chat,llamacpp,dual,103.2,1764.0,0.31,103.5,96.0,0.04,103.3,930.0,0.17,2286.9,340.3,12.8,10.9,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),chat,llamacpp,dual_tensor,119.2,1453.0,0.37,120.8,54.0,0.07,120.0,754.0,0.22,2656.3,197.6,12.6,11.2,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),rag,ollama,auto,96.7,4618.0,0.44,96.8,4670.0,0.44,96.8,4644.0,0.44,2141.8,318.7,12.8,11.0,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),rag,llamacpp,single0,66.8,865.0,2.35,67.3,84.0,0.05,67.0,474.0,1.2,1483.6,220.8,15.3,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),rag,llamacpp,single1,61.9,671.0,3.03,62.1,58.0,0.07,62.0,365.0,1.55,1372.2,204.2,1.6,13.9,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),rag,llamacpp,dual,101.8,2912.0,0.7,102.0,94.0,0.04,101.9,1503.0,0.37,2256.6,335.8,12.8,10.9,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),rag,llamacpp,dual_tensor,120.0,2168.0,0.94,120.5,60.0,0.07,120.3,1114.0,0.5,2662.3,198.1,12.7,11.3,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),code,ollama,auto,96.3,3191.0,0.05,96.5,3185.0,0.05,96.4,3188.0,0.05,2134.4,317.6,12.8,11.0,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),code,llamacpp,single0,66.3,124.0,1.23,67.7,94.0,0.04,67.0,109.0,0.63,1482.7,220.6,15.3,0.3,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),code,llamacpp,single1,61.3,84.0,1.81,63.0,63.0,0.06,62.2,73.0,0.94,1375.8,204.7,1.6,13.9,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),code,llamacpp,dual,102.6,816.0,0.19,103.5,104.0,0.04,103.1,460.0,0.11,2281.1,339.4,12.8,10.9,,
2026-07-03_16-39-28_run-all.log,qwen3.6-35b-a3b-q4  —  Qwen3.6 35B A3B MoE UD (Q4_K_M),code,llamacpp,dual_tensor,119.0,678.0,0.22,119.7,62.0,0.06,119.3,370.0,0.14,2641.5,196.5,12.6,11.2,,
2026-07-03_16-39-28_run-all.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),chat,ollama,auto,17.5,730.0,0.73,17.5,729.0,0.73,17.5,730.0,0.73,382.7,56.9,13.7,13.2,,
2026-07-03_16-39-28_run-all.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),chat,llamacpp,single0,4.5,253.0,2.11,4.4,294.0,1.8,4.4,274.0,1.95,97.4,14.5,15.3,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),chat,llamacpp,single1,4.4,102.0,5.22,4.4,108.0,4.88,4.4,105.0,5.05,96.6,14.4,1.5,14.0,,
2026-07-03_16-39-28_run-all.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),chat,llamacpp,dual,17.6,625.0,0.86,17.6,695.0,0.76,17.6,660.0,0.81,384.9,57.3,15.1,14.6,,
2026-07-03_16-39-28_run-all.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),chat,llamacpp,dual_tensor,29.2,500.0,1.07,29.2,562.0,0.94,29.2,531.0,1.0,640.0,47.6,15.6,14.6,,
2026-07-03_16-39-28_run-all.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),rag,ollama,auto,16.9,2162.0,0.92,16.9,2152.0,0.93,16.9,2157.0,0.93,370.7,55.2,13.4,13.2,,
2026-07-03_16-39-28_run-all.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),rag,llamacpp,single0,4.3,488.0,4.09,4.3,4.0,0.26,4.3,246.0,2.17,93.6,13.9,15.1,0.3,,
2026-07-03_16-39-28_run-all.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),rag,llamacpp,single1,4.2,257.0,7.78,4.3,4.0,0.23,4.2,131.0,4.0,93.0,13.8,1.4,14.0,,
2026-07-03_16-39-28_run-all.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),rag,llamacpp,dual,16.6,760.0,2.63,16.6,15.0,0.07,16.6,388.0,1.35,362.6,54.0,15.1,14.6,,
