id,ollama_tag,backend,gpu_config,ok,error,load_time_s,decode_tok_per_s,prompt_tok_per_s,ttft_s,n_generated,peak_vram_mib,gguf_size_gb,bandwidth_gb_s,bandwidth_pct
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,ollama,auto,longdoc,True,,7.6729748,74.13986879285413,131326.74255266733,0.0303545,512,"{0: 11532.7109375, 1: 9486.09765625}",16.947539744,1256.4883729818407,93.48871822781553
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single0,longdoc,True,,,50.758726784395094,813.8305266353212,1.2672005,512,"{0: 16023.9140625, 1: 261.0}",16.947539744,860.2355395333732,128.01124100199007
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single1,longdoc,True,,,49.98998672226511,585.5578470547136,1.7697715,512,"{0: 2270.1875, 1: 14366.09765625}",16.947539744,847.2072867776202,63.03625645666817
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual,longdoc,True,,,73.25853465926285,2019.7715899731127,0.5098755,512,"{0: 11990.59765625, 1: 9812.09765625}",16.947539744,1241.5519277250587,92.37737557478115
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,ollama,auto,chat,True,,3.8073747,65.49192756697265,16856.366888298147,0.0328255,256,"{0: 8345.96875, 1: 261.0}",5.680522464,372.028365754849,55.361363951614436
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,ollama,auto,chat,True,,9.0345027,17.52465827570539,706.4615247807426,0.7630269999999999,256,"{0: 13669.6015625, 1: 12244.09765625}",22.523238624,394.7120601477689,29.368456856232804
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single0,chat,False,"llama-server crashed (exit 3221225506).
",,,,,,,,,
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single1,chat,True,,,5.015336155130866,66.78040449292378,2.383829,256,"{0: 2122.73828125, 1: 13762.09765625}",22.523238624,112.96161300158718,8.404881919760951
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual,chat,True,,,17.772454799729942,344.4019493845233,0.46860950000000007,256,"{0: 13567.7265625, 1: 12234.09765625}",22.523238624,400.29324038857163,29.783723243197297
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,ollama,auto,rag,True,,9.1691696,17.370520686423944,2572.0962457266196,0.7901355,512,"{0: 14125.80859375, 1: 12244.09765625}",22.523238624,391.2403824434548,29.110147503233243
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single0,rag,True,,,4.870636633687813,223.39746605071701,2.531833,512,"{0: 15936.37109375, 1: 261.0}",22.523238624,109.70251115134668,16.324778445140876
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single1,rag,True,,,4.802863890688594,149.596585092735,3.7241765000000004,512,"{0: 2169.3203125, 1: 13788.09765625}",22.523238624,108.17604948857226,8.04881320599496
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual,rag,True,,,17.619912575624802,394.1195891908206,1.406649,512,"{0: 13784.23046875, 1: 12260.09765625}",22.523238624,396.8574954748159,29.528087460923803
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,ollama,auto,longdoc,True,,9.1910241,17.341916547056474,5089.018222193941,0.793523,512,"{0: 13750.54296875, 1: 12244.09765625}",22.523238624,390.5961245868471,29.06221165080708
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single0,longdoc,True,,,4.71519823030911,507.8558398740889,6.057473,512,"{0: 15681.60546875, 1: 261.0}",22.523238624,106.20153490071459,15.80379983641586
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single1,longdoc,True,,,4.670700946877378,299.8183945549424,10.119837,512,"{0: 2152.5078125, 1: 13790.09765625}",22.523238624,105.19931196786195,7.827329759513538
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual,longdoc,True,,,17.505729743960615,758.6457982848542,3.9995535,512,"{0: 13801.54296875, 1: 12262.09765625}",22.523238624,394.2857283104794,29.33673573738686
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,ollama,auto,chat,True,,6.9619774,22.525636430152655,818.6756363471962,0.6583924999999999,256,"{0: 11395.28515625, 1: 9778.09765625}",16.817244384,378.8191327510105,28.18594737730733
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single0,chat,False,"llama-server crashed (exit 3221225506).
",,,,,,,,,
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single1,chat,True,,,9.863829113872274,124.82967889127919,1.285639,256,"{0: 2412.0625, 1: 13940.09765625}",16.817244384,165.88242477000418,12.342442319196739
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,chat,True,,,22.99182769887227,385.1044879504165,0.420805,256,"{0: 11326.49609375, 1: 9768.09765625}",16.817244384,386.6591852467553,28.76928461657406
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,ollama,auto,rag,True,,6.9984881,22.416112769281696,2967.5283774103655,0.684991,512,"{0: 11430.84765625, 1: 9778.09765625}",16.817244384,376.97724658031325,28.048902275320923
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single0,rag,True,,,9.656899140348976,319.7000497061907,1.7544339999999998,512,"{0: 15976.00390625, 1: 261.0}",16.817244384,162.40243283488823,24.16702869566789
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single1,rag,True,,,9.625287238572689,236.17500005238276,2.3604214999999997,512,"{0: 2137.6015625, 1: 13966.09765625}",16.817244384,161.8708077572734,12.043958910511414
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,rag,True,,,22.774084553886482,450.4581841679369,1.2301149999999998,512,"{0: 10953.92578125, 1: 9794.09765625}",16.817244384,382.99734556458856,28.496826306889027
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,ollama,auto,longdoc,True,,7.0235059,22.31323017691572,5727.5844409632555,0.705102,512,"{0: 10969.14453125, 1: 9778.09765625}",16.817244384,375.2470448816352,27.92016702988357
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single0,longdoc,True,,,9.425409130974895,658.919061534128,4.6416505,512,"{0: 15790.24609375, 1: 261.0}",16.817244384,158.50940877478985,23.58770963910563
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single1,longdoc,True,,,9.468195856213736,465.80963286612655,6.508432000000001,512,"{0: 2170.0859375, 1: 13968.09765625}",16.817244384,159.22896358952252,11.847393124220426
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,longdoc,True,,,22.528050969259585,873.3170999295504,3.4724424999999997,512,"{0: 11153.48828125, 1: 9796.09765625}",16.817244384,378.85973864524647,28.188968649199886
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,chat,3,False,"llama-server crashed (exit 1).
error: invalid argument: --draft-mtp
",,,,,,,,,
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,chat,3,False,"llama-server crashed (exit 1).
",,,,,,,,,
gemma4-12b-qat,eval/gemma4-12b-qat,ollama,auto,chat,0,True,,4.5301014,49.40725884474221,5875.002122365566,0.091064,256,"{0: 10375.61328125, 1: 261.0}",6.975877728,344.6589965765682,51.28854115722741
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,dual,chat,0,True,,,49.507807901137596,1907.2616118617614,0.27883199999999997,256,"{0: 7130.56640625, 1: 5816.09765625}",6.975877728,345.3604144996482,25.696459412176203
gemma4-12b-qat,eval/gemma4-12b-qat,ollama,auto,rag,0,True,,3.3969789,46.82377781523361,44882.30443905674,0.0445165,512,"{0: 10330.39453125, 1: 261.0}",6.975877728,326.6369488021087,48.6066888098376
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,dual,rag,0,True,,,46.404100746563714,1092.6912051116485,0.47885649999999996,512,"{0: 7217.39453125, 1: 5838.09765625}",6.975877728,323.709332885822,24.085515839718898
gemma4-12b-qat,eval/gemma4-12b-qat,ollama,auto,rag,0,True,,0.3461974,47.59491671051784,75696.71782149925,0.026395000000000002,512,"{0: 10313.1328125, 1: 261.0}",6.975877728,332.01631944691644,49.407190393886374
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,dual,rag,0,True,,,46.43162844311256,1099.4244746533245,0.47584050000000006,512,"{0: 7221.1015625, 1: 5838.09765625}",6.975877728,323.9013627310802,24.099803774633944
