id,ollama_tag,backend,gpu_config,ok,error,load_time_s,decode_tok_per_s,prompt_tok_per_s,ttft_s,n_generated,peak_vram_mib,gguf_size_gb,bandwidth_gb_s,bandwidth_pct
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single1,rag,0,True,,,9.843292928779672,237.98821922726196,2.340745,512,"{0: 1678.51953125, 1: 13966.09765625}",0.0,0.0,16.817244384,165.53706272658684,12.31674573858533
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,rag,0,True,,,22.848023912761693,453.54249652629557,1.2218434999999999,512,"{0: 10578.5546875, 1: 9794.09765625}",0.0,0.0,16.817244384,384.24080183238925,28.589345374433723
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual_21,rag,0,True,,,22.662123779292052,450.7912624072757,1.2300049999999998,512,"{0: 13440.3515625, 1: 7178.09765625}",0.0,0.0,16.817244384,381.1144738568121,28.35673168577471
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual_tensor,rag,0,True,,,37.20675753637539,351.80736419251934,1.577411,512,"{0: 11088.8203125, 1: 9350.09765625}",0.0,0.0,16.817244384,625.7151342254587,46.55618558225139
gemma4-31b-q5,eval/gemma4-31b-q5,llamacpp,single0,rag,0,True,,,4.186916686299272,248.3993626313241,2.1523905,512,"{0: 16106.28515625, 1: 261.0}",0.0,0.0,21.890427904,91.65339786148878,13.638898491292975
gemma4-31b-q5,eval/gemma4-31b-q5,llamacpp,single1,rag,0,True,,,4.067492959677866,129.2809061933052,4.0530265,512,"{0: 2196.26953125, 1: 14382.09765625}",0.0,0.0,21.890427904,89.0391613838559,6.624937602965468
gemma4-31b-q5,eval/gemma4-31b-q5,llamacpp,dual,rag,0,True,,,16.51836918131018,385.6345058541398,1.354492,512,"{0: 16077.21484375, 1: 14994.09765625}",0.0,0.0,21.890427904,361.594169655126,26.90432809933973
gemma4-31b-q5,eval/gemma4-31b-q5,llamacpp,dual_tensor,rag,0,True,,,27.768320765092874,326.8538183964146,1.598803,512,"{0: 16037.5390625, 1: 15008.09765625}",0.0,0.0,21.890427904,607.8604237234116,45.22771009846813
gemma4-12b-qat,eval/gemma4-12b-qat,ollama,auto,chat,0,True,,0.3577402,49.364433478205214,9123.220520681713,0.058649,256,"{0: 11002.5859375, 1: 261.0}",0.0,0.0,6.975877728,344.36025205594933,51.24408512737342
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,single0,chat,0,True,,,51.020887254664245,1881.8438655000652,0.282937,256,"{0: 12091.44921875, 1: 261.0}",0.0,0.0,6.975877728,355.9154710626114,52.96361176526956
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,single1,chat,0,True,,,50.162915919303025,1854.2356247291784,0.286728,256,"{0: 2885.53515625, 1: 9648.09765625}",0.0,0.0,6.975877728,349.93036793300263,52.072971418601576
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,dual,chat,0,True,,,49.70815664200347,1938.750067570847,0.27422650000000004,256,"{0: 7923.90625, 1: 5816.09765625}",0.0,0.0,6.975877728,346.7580228188873,51.600896252810614
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,dual_tensor,chat,0,False,"llama-server crashed (exit 3221226505).
D:/a/llama.cpp/llama.cpp/ggml/src/ggml-backend-meta.cpp:541: GGML_ASSERT(src_ss[0].axis != GGML_BACKEND_SPLIT_AXIS_0) failed
",,,,,,,,,,,
gemma4-12b-qat,eval/gemma4-12b-qat,ollama,auto,rag,0,True,,3.3042817,47.57771005815318,44983.38407327923,0.0444165,512,"{0: 11087.8359375, 1: 261.0}",0.0,0.0,6.975877728,331.8962879439124,49.3893285630822
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,single0,rag,0,True,,,48.282577102594416,1105.9883637619662,0.47257899999999997,512,"{0: 12229.8359375, 1: 261.0}",0.0,0.0,6.975877728,336.8133542604312,50.12103486018321
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,single1,rag,0,True,,,46.957830590182525,1083.6087450515324,0.482693,512,"{0: 2693.93359375, 1: 9670.09765625}",0.0,0.0,6.975877728,327.5720845692514,48.745845918043365
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,dual,rag,0,True,,,46.49777356410778,1099.9575386162355,0.4757915,512,"{0: 7806.390625, 1: 5838.09765625}",0.0,0.0,6.975877728,324.3627830074467,48.268271280870046
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,dual_tensor,rag,0,False,"llama-server crashed (exit 3221226505).
D:/a/llama.cpp/llama.cpp/ggml/src/ggml-backend-meta.cpp:541: GGML_ASSERT(src_ss[0].axis != GGML_BACKEND_SPLIT_AXIS_0) failed
",,,,,,,,,,,
gemma4-12b-qat,eval/gemma4-12b-qat,ollama,auto,code,0,True,,3.2760451,50.721840618384846,2356.3666254724244,0.0704725,512,"{0: 10928.8125, 1: 261.0}",0.0,0.0,6.975877728,353.8293582929566,52.65317831740426
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,single0,code,0,True,,,52.30588637666594,1229.3871360730357,0.12828,512,"{0: 12093.9765625, 1: 261.0}",0.0,0.0,6.975877728,364.87946781828254,54.29753985391109
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,single1,code,0,True,,,50.752548109515956,1139.6972543178422,0.138326,512,"{0: 2713.00390625, 1: 9642.09765625}",0.0,0.0,6.975877728,354.0435699964209,52.6850550589912
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,dual,code,0,True,,,50.331819391478206,1262.8995034775241,0.124969,512,"{0: 7809.6640625, 1: 5810.09765625}",0.0,0.0,6.975877728,351.10861790273134,52.2483062355255
gemma4-12b-qat,eval/gemma4-12b-qat,llamacpp,dual_tensor,code,0,False,"llama-server crashed (exit 3221226505).
D:/a/llama.cpp/llama.cpp/ggml/src/ggml-backend-meta.cpp:541: GGML_ASSERT(src_ss[0].axis != GGML_BACKEND_SPLIT_AXIS_0) failed
",,,,,,,,,,,
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,ollama,auto,chat,0,True,,4.343905,67.18845063685512,19619.584353177066,0.0274745,256,"{0: 9049.8828125, 1: 261.0}",0.0,0.0,5.680522464,381.66550316401066,56.79546178035872
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,single0,chat,0,True,,,70.27231435283127,1180.9045997796093,0.135271,256,"{0: 8575.4765625, 1: 261.0}",0.0,0.0,5.680522464,399.18346027852766,59.402300636685666
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,single1,chat,0,True,,,68.70776497395002,1153.511202675397,0.1433335,256,"{0: 2712.81640625, 1: 6124.09765625}",0.0,0.0,5.680522464,390.29600238575546,58.07976225978504
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,dual,chat,0,True,,,68.15531073621264,1183.4806847270174,0.137321,256,"{0: 5871.4765625, 1: 3950.09765625}",0.0,0.0,5.680522464,387.1577736779563,57.61276394017207
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,dual_tensor,chat,0,True,,,103.84665352132025,771.339338786601,0.2072255,256,"{0: 5967.4765625, 1: 3516.09765625}",0.0,0.0,5.680522464,589.9032481390844,43.89161072463426
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,ollama,auto,rag,0,True,,2.9028295,67.27305793942892,5346.411563829544,0.38057850000000004,512,"{0: 9055.7890625, 1: 261.0}",0.0,0.0,5.680522464,382.14611684689953,56.86698167364577
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,single0,rag,0,True,,,68.41733537500345,1451.9655138858516,0.381869,512,"{0: 8710.625, 1: 261.0}",0.0,0.0,5.680522464,388.64621052472893,57.83425751856085
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,single1,rag,0,True,,,67.75545557869017,1394.1808185684574,0.3984475,512,"{0: 2802.07421875, 1: 6142.09765625}",0.0,0.0,5.680522464,384.88638747330367,57.274760040670195
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,dual,rag,0,True,,,66.63553944926797,1408.8522391527442,0.39340800000000004,512,"{0: 6224.3046875, 1: 3968.09765625}",0.0,0.0,5.680522464,378.52467874232485,56.32807719379834
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,dual_tensor,rag,0,True,,,101.48778784734094,924.0807502946226,0.6001730000000001,512,"{0: 6078.52734375, 1: 3548.09765625}",0.0,0.0,5.680522464,576.5036586884864,42.89461746194095
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,ollama,auto,code,0,True,,2.8529316,64.33391255529001,2654.357028968345,0.073405,512,"{0: 9527.921875, 1: 261.0}",0.0,0.0,5.680522464,365.45023546733654,54.38247551597269
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,single0,code,0,True,,,68.39683187106678,796.6485286145744,0.066194,512,"{0: 8725.046875, 1: 261.0}",0.0,0.0,5.680522464,388.529739910026,57.81692558184911
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,single1,code,0,True,,,68.73740160694004,670.4583306464901,0.0823845,512,"{0: 2977.24609375, 1: 6120.09765625}",0.0,0.0,5.680522464,390.4643539452126,58.104814575180455
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,dual,code,0,True,,,67.59788769412214,701.1635628667377,0.07663,512,"{0: 6101.72265625, 1: 3946.09765625}",0.0,0.0,5.680522464,383.99131956541,57.141565411519345
qwen3.5-9b-q4,eval/qwen3.5-9b-q4,llamacpp,dual_tensor,code,0,True,,,102.60397878396893,488.245128340232,0.10905200000000001,512,"{0: 6078.26171875, 1: 3510.09765625}",0.0,0.0,5.680522464,582.8442063781149,43.36638440313355
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,ollama,auto,chat,0,True,,5.3226156,42.41220453015373,8641.067963601421,0.0623835,256,"{0: 7783.4765625, 1: 5766.09765625}",0.0,0.0,9.527502048,404.0823655212346,60.131304393040864
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,single0,chat,0,True,,,45.1025581740532,1330.0822653232635,0.1223705,256,"{0: 11899.28125, 1: 261.0}",0.0,0.0,9.527502048,429.71471537333105,63.94564216865045
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,single1,chat,0,True,,,44.611696114440036,1192.0958810374502,0.141503,256,"{0: 2894.4921875, 1: 9308.09765625}",0.0,0.0,9.527502048,425.03802609508114,63.249706264148976
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,dual,chat,0,True,,,44.00591680735012,1216.6718622535473,0.1367115,256,"{0: 7569.23046875, 1: 5564.09765625}",0.0,0.0,9.527502048,419.2664625061459,62.39084263484314
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,dual_tensor,chat,0,True,,,72.93513741619108,803.045955173848,0.200374,256,"{0: 7662.18359375, 1: 5108.09765625}",0.0,0.0,9.527502048,694.889671103922,51.70310052856563
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,ollama,auto,rag,0,True,,5.3322191,42.869967818216885,4684.650163997963,0.4337575,512,"{0: 7796.2265625, 1: 5772.09765625}",0.0,0.0,9.527502048,408.4437061857555,60.78031342049933
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,single0,rag,0,True,,,44.25484321391612,1575.0017585480061,0.352102,512,"{0: 12053.62109375, 1: 261.0}",0.0,0.0,9.527502048,421.63810935450476,62.743766272991785
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,single1,rag,0,True,,,44.30088432598754,1504.940484236481,0.37150299999999997,512,"{0: 3046.2890625, 1: 9326.09765625}",0.0,0.0,9.527502048,422.0767661440574,62.80904258096092
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,dual,rag,0,True,,,43.739150046709014,1529.2029276046271,0.36362249999999996,512,"{0: 7635.390625, 1: 5582.09765625}",0.0,0.0,9.527502048,416.72484164779945,62.012625245208255
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,dual_tensor,rag,0,True,,,72.45219097690403,962.5623171662245,0.5757439999999999,512,"{0: 7712.5234375, 1: 5140.09765625}",0.0,0.0,9.527502048,690.2883979145404,51.36074389245092
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,ollama,auto,code,0,True,,4.5845388,42.95285420477239,2446.2574480064504,0.062143,512,"{0: 7710.2734375, 1: 5762.09765625}",0.0,0.0,9.527502048,409.2334064034144,60.89782833384143
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,single0,code,0,True,,,44.8281312531859,781.7130337328905,0.0691005,512,"{0: 11842.8984375, 1: 261.0}",0.0,0.0,9.527502048,427.1001123227415,63.55656433374129
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,single1,code,0,True,,,44.66628554401238,682.846010608013,0.083747,512,"{0: 2795.01953125, 1: 9304.09765625}",0.0,0.0,9.527502048,425.5581269971308,63.32710223171589
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,dual,code,0,True,,,44.15555856657801,721.5846973069467,0.0773985,512,"{0: 7520.1171875, 1: 5560.09765625}",0.0,0.0,9.527502048,420.6921746736559,62.60300218357975
qwen3.5-9b-q8,eval/qwen3.5-9b-q8,llamacpp,dual_tensor,code,0,True,,,72.76673053003096,461.8738664163381,0.1138435,512,"{0: 7634.1171875, 1: 5102.09765625}",0.0,0.0,9.527502048,693.2851741511341,51.58371831481653
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,ollama,auto,chat,0,True,,7.3612372,22.709022332188304,794.0552178416472,0.6787955,256,"{0: 11744.1171875, 1: 9778.09765625}",0.0,0.0,16.817244384,381.9031782821243,56.83083010150659
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single0,chat,0,True,,,9.98831893246678,237.5334050820667,0.7119815,256,"{0: 15845.4921875, 1: 261.0}",0.0,0.0,16.817244384,167.97600047262782,24.99642864176009
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single1,chat,0,True,,,9.959261863001574,126.29858055993655,1.2713465,256,"{0: 2159.64453125, 1: 13940.09765625}",0.0,0.0,16.817244384,167.48734063434858,24.92371140392092
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,chat,0,True,,,22.967826248515863,392.0434928919142,0.411589,256,"{0: 11118.7421875, 1: 9768.09765625}",0.0,0.0,16.817244384,386.2555469905411,57.47850401644957
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual_tensor,chat,0,True,,,37.669010453615826,308.1307143292415,0.5197705,256,"{0: 11206.7421875, 1: 9308.09765625}",0.0,0.0,16.817244384,633.488954501908,47.134594829011014
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,ollama,auto,rag,0,True,,7.1117088,22.52508142887892,2897.485794819224,0.7015,512,"{0: 11122.7421875, 1: 9778.09765625}",0.0,0.0,16.817244384,378.8097991589567,56.370505827225706
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single0,rag,0,True,,,9.824099346299956,339.100320802239,1.6589695000000002,512,"{0: 15842.3671875, 1: 261.0}",0.0,0.0,16.817244384,165.214279559421,24.585458267770978
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single1,rag,0,True,,,9.766850449517403,237.58151626166807,2.345792,512,"{0: 2128.51953125, 1: 13966.09765625}",0.0,0.0,16.817244384,164.2515108715144,24.442189117784878
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,rag,0,True,,,22.75455187394124,453.58130170481803,1.2217385,512,"{0: 11119.8046875, 1: 9794.09765625}",0.0,0.0,16.817244384,382.66885971247495,56.94477079054687
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual_tensor,rag,0,True,,,37.33221773125953,351.03225652679015,1.580732,512,"{0: 11219.6171875, 1: 9350.09765625}",0.0,0.0,16.817244384,627.8250289832896,46.713171799351905
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,ollama,auto,code,0,True,,7.141498,22.6142035266465,1149.8970533955894,0.13218599949999998,512,"{0: 11080.3671875, 1: 9772.09765625}",0.0,0.0,16.817244384,380.3085872571288,56.593539770406075
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single0,code,0,True,,,9.970941321155681,108.7505662615482,0.501692,512,"{0: 15830.7421875, 1: 261.0}",0.0,0.0,16.817244384,167.6837569363989,24.952940020297458
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single1,code,0,True,,,9.975747699134082,49.912173797122506,1.028539,512,"{0: 2357.71484375, 1: 13966.09765625}",0.0,0.0,16.817244384,167.76458696946355,24.964968299027316
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual,code,0,True,,,22.96350836755181,263.8919448357874,0.204927,512,"{0: 11272.16796875, 1: 9762.09765625}",0.0,0.0,16.817244384,386.18293213114765,57.467698233801734
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,dual_tensor,code,0,True,,,37.80423459491776,198.46382212006455,0.264971,512,"{0: 11327.91796875, 1: 9300.09765625}",0.0,0.0,16.817244384,635.7630519327992,47.3037985069047
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,ollama,auto,chat,0,True,,8.8464851,17.656903400529103,682.2815867675381,0.790031,256,"{0: 13907.26171875, 1: 12244.09765625}",0.0,0.0,22.523238624,397.69064865103405,59.18015604926102
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single0,chat,0,True,,,5.03621365003948,128.50410161869894,1.2891190000000001,256,"{0: 15718.44921875, 1: 261.0}",0.0,0.0,22.523238624,113.43184180128524,16.879738363286496
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single1,chat,0,True,,,5.032987640755467,68.5324953609524,2.320241,256,"{0: 2218.6953125, 1: 13762.09765625}",0.0,0.0,22.523238624,113.35918162437817,16.868925836961036
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual,chat,0,True,,,17.786049589377974,344.47802413543104,0.46832399999999996,256,"{0: 13838.44921875, 1: 12234.09765625}",0.0,0.0,22.523238624,400.59943907985735,59.613011767835914
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual_tensor,chat,0,True,,,30.363121906966672,293.4289733554388,0.544965,256,"{0: 13840.63671875, 1: 11872.09765625}",0.0,0.0,22.523238624,683.8758400802124,50.883619053587225
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,ollama,auto,rag,0,True,,8.9162737,17.538353073416232,2616.183903730779,0.7767740000000001,512,"{0: 13832.63671875, 1: 12244.09765625}",0.0,0.0,22.523238624,395.0205113445176,58.78281418817226
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single0,rag,0,True,,,5.009869512513671,239.5231754831709,2.366078,512,"{0: 15750.16796875, 1: 261.0}",0.0,0.0,22.523238624,112.83848650544796,16.79144144426309
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single1,rag,0,True,,,5.011585996825526,153.5136964764967,3.621787,512,"{0: 2226.4453125, 1: 13788.09765625}",0.0,0.0,22.523238624,112.87714729119824,16.79719453738069
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual,rag,0,True,,,17.665784998171624,396.84617487666446,1.3971855000000002,512,"{0: 13872.19921875, 1: 12260.09765625}",0.0,0.0,22.523238624,397.8906909940989,59.20992425507424
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual_tensor,rag,0,True,,,30.23614954355577,333.99048352523585,1.6629455000000002,512,"{0: 13878.19921875, 1: 11914.09765625}",0.0,0.0,22.523238624,681.0160112404553,50.67083416967674
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,ollama,auto,code,0,True,,8.9181023,17.600402153961326,978.1940568831911,0.15538849999999998,512,"{0: 13843.69921875, 1: 12238.09765625}",0.0,0.0,22.523238624,396.41805759203453,58.99078237976705
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single0,code,0,True,,,5.088591923401923,47.428287769704774,1.093988,512,"{0: 15701.85546875, 1: 261.0}",0.0,0.0,22.523238624,114.61157015094065,17.05529317722331
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single1,code,0,True,,,5.017689485972667,25.805355786803712,2.018653,512,"{0: 2206.0390625, 1: 13788.09765625}",0.0,0.0,22.523238624,113.0146176336983,16.817651433586057
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual,code,0,True,,,17.770939976713205,237.58091661174115,0.2259155,512,"{0: 13572.19140625, 1: 12228.09765625}",0.0,0.0,22.523238624,400.25912166829255,59.56236929587687
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual_tensor,code,0,True,,,30.499895707320835,202.51291647648804,0.260241,512,"{0: 13563.97265625, 1: 11864.09765625}",0.0,0.0,22.523238624,686.9564290231004,51.11282954040925
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,ollama,auto,chat,0,True,,7.7998627,79.13811328193222,7643.966013297635,0.06999,256,"{0: 11270.72265625, 1: 9474.09765625}",0.0,0.0,16.947539744,1341.1963201107205,199.58278573076197
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single0,chat,0,True,,,59.36167869739596,807.2689889190976,0.7643485,256,"{0: 15723.25390625, 1: 261.0}",0.0,0.0,16.947539744,1006.0344089946761,149.70750133849347
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single1,chat,0,True,,,56.00828574648365,394.6535087767236,1.349294,256,"{0: 1645.03125, 1: 14356.09765625}",0.0,0.0,16.947539744,949.2026486818404,141.2503941490834
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual,chat,0,True,,,86.25993721546692,2287.079049027513,0.24392,256,"{0: 11444.12890625, 1: 9770.09765625}",0.0,0.0,16.947539744,1461.8937142740704,217.54370748126047
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual_tensor,chat,0,True,,,96.71250526746726,1391.2879893042673,0.387208,256,"{0: 11426.12890625, 1: 10312.09765625}",0.0,0.0,16.947539744,1639.0390267622108,121.95230853885496
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,ollama,auto,rag,0,True,,7.8271322,76.09769342029524,67714.06049141096,0.029507,512,"{0: 10968.12890625, 1: 9486.09765625}",0.0,0.0,16.947539744,1289.6686836671809,191.91498268856856
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single0,rag,0,True,,,56.47186774108937,713.5069251949258,0.7321705000000001,512,"{0: 15686.31640625, 1: 261.0}",0.0,0.0,16.947539744,957.0592229600236,142.41952722619396
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single1,rag,0,True,,,53.62934764260565,550.8984436918561,0.9520795,512,"{0: 1647.21875, 1: 14364.09765625}",0.0,0.0,16.947539744,908.885500617852,135.2508185443232
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual,rag,0,True,,,80.11806403133828,1662.8006989259984,0.31483,512,"{0: 11486.31640625, 1: 9810.09765625}",0.0,0.0,16.947539744,1357.8040743834424,202.05417773563133
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual_tensor,rag,0,True,,,92.78041541399264,901.0694861675877,0.5794805,512,"{0: 11594.31640625, 1: 10478.09765625}",0.0,0.0,16.947539744,1572.3997776934705,116.99403107838322
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,ollama,auto,code,0,True,,7.7962119,82.98296574883486,2871.054965398531,0.056077,512,"{0: 10949.66015625, 1: 9464.09765625}",0.0,0.0,16.947539744,1406.3571101033695,209.27933186062043
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single0,code,0,True,,,59.82417354130233,379.60529206467515,0.5050764999999999,512,"{0: 15670.41015625, 1: 261.0}",0.0,0.0,16.947539744,1013.8725587431744,150.87389267011525
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single1,code,0,True,,,56.17514441425982,160.14477149048184,0.9869285,512,"{0: 1647.21875, 1: 14348.09765625}",0.0,0.0,16.947539744,952.0304925856079,141.6712042538107
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual,code,0,True,,,87.1846221392882,1151.826556105193,0.149617,512,"{0: 11438.31640625, 1: 9762.09765625}",0.0,0.0,16.947539744,1477.564848771209,219.8757215433347
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual_tensor,code,0,True,,,97.29494833989284,790.6513092059504,0.2092505,512,"{0: 11388.31640625, 1: 10272.09765625}",0.0,0.0,16.947539744,1648.9100038807608,122.68675624112804
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,ollama,auto,chat,0,True,,8.9271078,94.49733565952141,11221.87182111359,0.048031500000000005,256,"{0: 13138.31640625, 1: 11238.09765625}",0.0,0.0,22.134528992,2091.654015822432,311.25803806881424
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single0,chat,0,True,,,66.98935992038002,204.56770091300766,0.8549134999999999,256,"{0: 15636.50390625, 1: 261.0}",0.0,0.0,22.134528992,1482.7779293131744,220.65147757636524
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single1,chat,0,True,,,62.261359622343306,146.10663220194326,1.190596,256,"{0: 1649.40625, 1: 14248.09765625}",0.0,0.0,22.134528992,1378.1258696420962,205.0782544110262
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,chat,0,True,,,103.31638336223529,929.9730283117375,0.1736665,256,"{0: 13096.50390625, 1: 11182.09765625}",0.0,0.0,22.134528992,2286.8594828799833,340.30647066666415
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual_tensor,chat,0,True,,,120.0065311388498,753.8527831359849,0.22230250000000001,256,"{0: 12862.50390625, 1: 11474.09765625}",0.0,0.0,22.134528992,2656.2880427222217,197.64047936921293
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,ollama,auto,rag,0,True,,8.6258774,96.76452510731045,4644.2379407794615,0.437545,512,"{0: 13150.50390625, 1: 11248.09765625}",0.0,0.0,22.134528992,2141.837186384875,318.72577178346353
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single0,rag,0,True,,,67.02428775453433,474.4893146411298,1.198796,512,"{0: 15663.84765625, 1: 261.0}",0.0,0.0,22.134528992,1483.5510404708907,220.76652387959683
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single1,rag,0,True,,,61.99156270517375,364.8993495363813,1.5474274999999997,512,"{0: 1654.21875, 1: 14274.09765625}",0.0,0.0,22.134528992,1372.1540419570542,204.1895895769426
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,rag,0,True,,,101.94827239428909,1503.3114077854582,0.3700805,512,"{0: 13129.50390625, 1: 11208.09765625}",0.0,0.0,22.134528992,2256.5769909957053,335.800147469599
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual_tensor,rag,0,True,,,120.2766554036191,1113.8139111686419,0.5020605,512,"{0: 12984.69140625, 1: 11594.09765625}",0.0,0.0,22.134528992,2662.2671160922005,198.0853508997173
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,ollama,auto,code,0,True,,8.6390659,96.42690833026285,3187.8219517578045,0.0476815,512,"{0: 13138.69140625, 1: 11234.09765625}",0.0,0.0,22.134528992,2134.3641980451293,317.6137199471919
